planner,transformer,n_collisions,planning_duration,path_length,n_collisions_std,planning_duration_std,path_length_std,num_failed,n_obs
RRTstar,FeatureAgglomeration,0.0,1.5111902856826782,3.6099999999999999,0.0,0.0040997634336154823,0.8111103500757465,0.0,10
RRTstar,FeatureAgglomeration,0.0,1.512371551990509,3.6499999999999999,0.0,0.0051200797926877571,0.72629195231669752,0.0,20
RRTstar,FeatureAgglomeration,0.0,1.5126851724118602,3.5204081632653059,0.0,0.0045597976510117766,0.65822258868857708,0.0,30
PRMstar,FeatureAgglomeration,0.0,1.5107282376289368,3.6000000000000001,0.0,0.0044567222434430918,0.81240384046359604,0.0,10
PRMstar,FeatureAgglomeration,0.0,1.5113169789314269,3.54,0.0,0.0044601022311206544,0.71302173879903541,0.0,20
PRMstar,FeatureAgglomeration,0.0,1.5119778161146202,3.5918367346938775,0.0,0.0043037675004779542,0.71194953234744518,0.0,30
RRTstar,TruncatedSVD,0.0,1.5098817229270936,3.6899999999999999,0.0,0.0037579814701442613,0.97667804316468598,0.0,10
RRTstar,TruncatedSVD,0.0,1.5108105635643005,3.5699999999999998,0.0,0.0038147227827790772,0.76491829629052532,0.0,20
RRTstar,TruncatedSVD,0.061224489795918366,1.5126397634039119,3.5918367346938775,0.60299129398751672,0.0055495317392428673,0.58617986189163562,0.0,30
PRMstar,TruncatedSVD,0.0,1.5106795573234557,3.5499999999999998,0.0,0.0038260850350296826,0.82915619758884984,0.0,10
PRMstar,TruncatedSVD,0.0,1.511074299812317,3.7999999999999998,0.0,0.0044356046806653246,0.86023252670426287,0.0,20
PRMstar,TruncatedSVD,0.0,1.5120552583616607,3.6734693877551021,0.0,0.0049264718163271534,0.81785571059240314,0.0,30
RRTstar,PCA,0.0,1.5103973150253296,3.6499999999999999,0.0,0.0043511399937328247,0.85293610546159904,0.0,10
RRTstar,PCA,0.0,1.5114387011528014,3.6699999999999999,0.0,0.0040470417402679948,0.97010308730567385,0.0,20
RRTstar,PCA,0.0,1.5121234120154867,3.5816326530612246,0.0,0.0045611887510621993,0.74125471933322473,0.0,30
PRMstar,PCA,0.0,1.5110595607757569,3.4900000000000002,0.0,0.0038826648827267767,0.64023433210036462,0.0,10
PRMstar,PCA,0.0,1.5112835168838501,3.6699999999999999,0.0,0.0041965406886099992,0.78809897855535893,0.0,20
PRMstar,PCA,0.0,1.5141960139177284,3.6530612244897958,0.0,0.0078776776481445134,0.67161153762874837,0.0,30
RRTstar,KernelPCA,0.0,1.5092677569389343,3.6000000000000001,0.0,0.0039590765339420136,0.86023252670426265,0.0,10
RRTstar,KernelPCA,0.0,1.5116366672515869,3.6600000000000001,0.0,0.0049261136470616024,0.82728471519785729,0.0,20
RRTstar,KernelPCA,0.0,1.5123336850380411,3.5408163265306123,0.0,0.0053313847493703,0.64156007794359782,0.0,30
PRMstar,KernelPCA,0.0,1.5096713066101075,3.8100000000000001,0.0,0.0040550813747571614,0.99694533450937017,0.0,10
PRMstar,KernelPCA,0.0,1.5105002212524414,3.71,0.0,0.0042709079279436941,0.76544104933038437,0.0,20
PRMstar,KernelPCA,0.0,1.5113984735644594,3.5918367346938775,0.0,0.0038007399127148686,0.68268280341541754,0.0,30
RRTstar,RandomizedPCA,0.0,1.5102449321746827,3.7999999999999998,0.0,0.0050643568921281187,0.89442719099991586,0.0,10
RRTstar,RandomizedPCA,0.0,1.5112450742721557,3.6800000000000002,0.0,0.004060857542853207,0.7332121111929345,0.0,20
RRTstar,RandomizedPCA,0.0,1.5126558858521131,3.5,0.0,0.0052985769713458771,0.6738557951469003,0.0,30
PRMstar,RandomizedPCA,0.040000000000000001,1.5103675293922425,3.5800000000000001,0.39799497484264795,0.0036602100144765212,0.90752410436307418,0.0,10
PRMstar,RandomizedPCA,0.089999999999999997,1.5127371644973755,3.73,0.89548869339595794,0.0037073236851879114,0.81061704892014219,0.0,20
PRMstar,RandomizedPCA,0.0,1.5122332402638026,3.5816326530612246,0.0,0.0051537625008532496,0.69873748227632615,0.0,30
